subject	order	NR_R	TNT	trial	rt
8	2	2	2	3	639.3
8	2	2	2	3	689.6
8	2	2	2	3	638.2
8	2	2	2	3	507.7
8	2	2	2	3	612.2
8	2	2	2	3	641.7
8	2	2	2	3	NaN
8	2	2	2	3	669.8
8	2	2	2	4	584
8	2	2	2	4	584.8
8	2	2	2	4	549.3
8	2	2	2	4	473.7
8	2	2	2	4	465
8	2	2	2	4	357.9
8	2	2	2	4	670.2
8	2	2	2	4	479.3
8	2	2	2	5	440.9
8	2	2	2	5	512.4
8	2	2	2	5	341
8	2	2	2	5	451.6
8	2	2	2	5	NaN
8	2	2	2	5	478
8	2	2	2	5	554.4
8	2	2	2	5	488.8
8	2	2	2	6	642.3
8	2	2	2	6	392.4
8	2	2	2	6	494.6
8	2	2	2	6	408.8
8	2	2	2	6	612.4
8	2	2	2	6	426.2
8	2	2	2	6	641.2
8	2	2	2	6	484.7
11	1	1	1	1	511
11	1	1	1	1	598.9
11	1	1	1	1	558.9
11	1	1	1	1	554.2
11	1	1	1	1	646.7
11	1	1	1	1	676.8
11	1	1	1	1	623.7
11	1	1	1	1	584.5
11	1	1	1	2	784.9
11	1	1	1	2	772.8
11	1	1	1	2	665.7
11	1	1	1	2	719.5
11	1	1	1	2	596.3
11	1	1	1	2	638.4
11	1	1	1	2	714.5
11	1	1	1	2	663.5
11	1	1	1	3	629.1
11	1	1	1	3	694
11	1	1	1	3	695.1
11	1	1	1	3	636.9
11	1	1	1	3	629
11	1	1	1	3	761.9
11	1	1	1	3	675.6
11	1	1	1	3	NaN
11	1	1	1	4	628
11	1	1	1	4	651.3
11	1	1	1	4	610.5
11	1	1	1	4	633.7
11	1	1	1	4	776
11	1	1	1	4	717.8
11	1	1	1	4	477.3
11	1	1	1	4	656.1
11	1	1	1	5	585
11	1	1	1	5	660.8
11	1	1	1	5	503.7
11	1	1	1	5	607.8
11	1	1	1	5	621.5
11	1	1	1	5	NaN
11	1	1	1	5	769.4
11	1	1	1	5	628.4
11	1	1	1	6	NaN
11	1	1	1	6	576.6
11	1	1	1	6	632.8
11	1	1	1	6	645.9
11	1	1	1	6	655.8
11	1	1	1	6	576.3
11	1	1	1	6	602
11	1	1	1	6	618.3
11	1	1	2	1	570.5
11	1	1	2	1	632.7
11	1	1	2	1	573.5
11	1	1	2	1	634.1
11	1	1	2	1	606.8
11	1	1	2	1	641.8
11	1	1	2	1	594.8
11	1	1	2	1	678.2
11	1	1	2	2	733.3
11	1	1	2	2	707.3
11	1	1	2	2	694.2
11	1	1	2	2	759.1
11	1	1	2	2	777.5
11	1	1	2	2	593.7
11	1	1	2	2	603.2
11	1	1	2	2	862.2
11	1	1	2	3	687.5
11	1	1	2	3	735.5
11	1	1	2	3	639.8
11	1	1	2	3	708.1
11	1	1	2	3	728
11	1	1	2	3	683.4
11	1	1	2	3	711.8
11	1	1	2	3	630.9
11	1	1	2	4	767.5
11	1	1	2	4	758.6
11	1	1	2	4	740.6
11	1	1	2	4	756.5
11	1	1	2	4	749.5
11	1	1	2	4	789.5
11	1	1	2	4	599.7
11	1	1	2	4	725.7
11	1	1	2	5	NaN
11	1	1	2	5	652.8
11	1	1	2	5	NaN
11	1	1	2	5	674.9
11	1	1	2	5	753.9
11	1	1	2	5	777.6
11	1	1	2	5	692.9
11	1	1	2	5	729.4
11	1	1	2	6	739.4
11	1	1	2	6	769.7
11	1	1	2	6	630.2
11	1	1	2	6	542.5
11	1	1	2	6	697.6
11	1	1	2	6	776.4
11	1	1	2	6	NaN
11	1	1	2	6	733.2
11	1	2	1	1	691.7
11	1	2	1	1	647.9
11	1	2	1	1	590.2
11	1	2	1	1	608
11	1	2	1	1	671.1
11	1	2	1	1	593.1
11	1	2	1	1	734
11	1	2	1	1	722.1
11	1	2	1	2	618.2
11	1	2	1	2	633.3
11	1	2	1	2	508.7
11	1	2	1	2	NaN
11	1	2	1	2	634.2
11	1	2	1	2	613.3
11	1	2	1	2	547.9
11	1	2	1	2	640.5
11	1	2	1	3	539.5
11	1	2	1	3	731.5
11	1	2	1	3	544.5
11	1	2	1	3	779.7
11	1	2	1	3	511.9
11	1	2	1	3	722.4
11	1	2	1	3	579.2
11	1	2	1	3	566.1
11	1	2	1	4	601.4
11	1	2	1	4	675.3
11	1	2	1	4	695
11	1	2	1	4	580
11	1	2	1	4	621.6
11	1	2	1	4	729.9
11	1	2	1	4	764.8
11	1	2	1	4	581.9
11	1	2	1	5	725.3
11	1	2	1	5	672.6
11	1	2	1	5	669.7
11	1	2	1	5	579.6
11	1	2	1	5	569.8
11	1	2	1	5	512.9
11	1	2	1	5	524.8
11	1	2	1	5	NaN
11	1	2	1	6	609.1
11	1	2	1	6	754.3
11	1	2	1	6	797.9
11	1	2	1	6	688.6
11	1	2	1	6	589.6
11	1	2	1	6	547.5
11	1	2	1	6	506.5
11	1	2	1	6	483.3
11	1	2	2	1	642.4
11	1	2	2	1	801
11	1	2	2	1	955
11	1	2	2	1	640.9
11	1	2	2	1	744
11	1	2	2	1	847
11	1	2	2	1	NaN
11	1	2	2	1	744.1
11	1	2	2	2	883
11	1	2	2	2	559.1
11	1	2	2	2	625.1
11	1	2	2	2	803.3
11	1	2	2	2	582.5
11	1	2	2	2	622.3
11	1	2	2	2	883.3
11	1	2	2	2	716.4
11	1	2	2	3	774.5
11	1	2	2	3	764.4
11	1	2	2	3	678.7
11	1	2	2	3	765.6
11	1	2	2	3	801.3
11	1	2	2	3	607.2
11	1	2	2	3	827.5
11	1	2	2	3	732.2
11	1	2	2	4	953.8
11	1	2	2	4	834.6
11	1	2	2	4	737.7
11	1	2	2	4	795.2
11	1	2	2	4	728
11	1	2	2	4	780.1
11	1	2	2	4	884.5
11	1	2	2	4	771.7
11	1	2	2	5	729.9
11	1	2	2	5	918.7
11	1	2	2	5	777.8
11	1	2	2	5	716.7
11	1	2	2	5	840.8
11	1	2	2	5	801.6
11	1	2	2	5	713.7
11	1	2	2	5	753.6
11	1	2	2	6	672.6
11	1	2	2	6	890.9
11	1	2	2	6	653.5
11	1	2	2	6	NaN
11	1	2	2	6	589.6
11	1	2	2	6	1000.5
11	1	2	2	6	738.5
11	1	2	2	6	899.5
12	2	1	1	1	733.1
12	2	1	1	1	667.4
12	2	1	1	1	738
12	2	1	1	1	719.6
12	2	1	1	1	614.3
12	2	1	1	1	639.4
12	2	1	1	1	554.3
12	2	1	1	1	529.1
12	2	1	1	2	528.7
12	2	1	1	2	587.2
12	2	1	1	2	604.9
12	2	1	1	2	559.6
12	2	1	1	2	569
12	2	1	1	2	625.5
12	2	1	1	2	397.4
12	2	1	1	2	458.8
12	2	1	1	3	653.6
12	2	1	1	3	652.7
12	2	1	1	3	427
12	2	1	1	3	343.2
12	2	1	1	3	495.9
12	2	1	1	3	390.4
12	2	1	1	3	492
12	2	1	1	3	NaN
12	2	1	1	4	340.8
12	2	1	1	4	382.2
12	2	1	1	4	353.8
12	2	1	1	4	387.4
12	2	1	1	4	428.9
12	2	1	1	4	492.7
12	2	1	1	4	465.3
12	2	1	1	4	426
12	2	1	1	5	332
12	2	1	1	5	516.1
12	2	1	1	5	558.6
12	2	1	1	5	729.3
12	2	1	1	5	654.9
12	2	1	1	5	592.6
12	2	1	1	5	317
12	2	1	1	5	506.6
12	2	1	1	6	284.5
